FaixaInicial	FaixaFinal	Quantidade
187900254	187910253	10000
187910254	187920253	10000
187920254	187930253	10000
187930254	187940253	10000
187940254	187950253	10000
187950254	187960253	10000
187960254	187970253	10000
187970254	187980253	10000
187980254	187990253	10000
187990254	188000253	10000
188000254	188010253	10000
188010254	188020253	10000
188020254	188030253	10000
188030254	188040253	10000
188040254	188050253	10000
188050254	188060253	10000
188060254	188070253	10000
188070254	188080253	10000
188080254	188090253	10000
188090254	188100253	10000
188100254	188110253	10000
188110254	188120253	10000
188120254	188130253	10000
188130254	188140253	10000
188140254	188150253	10000
188150254	188160253	10000
188160254	188170253	10000
188170254	188180253	10000
188180254	188190253	10000
188190254	188200253	10000
188200254	188210253	10000
188210254	188220253	10000
188220254	188230253	10000
188230254	188240253	10000
188240254	188250253	10000
188250254	188260253	10000
188260254	188270253	10000
188270254	188280253	10000
188280254	188290253	10000
188290254	188300253	10000
188300254	188310253	10000
188310254	188320253	10000
188320254	188330253	10000
188330254	188340253	10000
188340254	188350253	10000
188350254	188360253	10000
188360254	188370253	10000
188370254	188380253	10000
188380254	188390253	10000
188390254	188400253	10000
188400254	188410253	10000
188410254	188420253	10000
188420254	188430253	10000
188430254	188440253	10000
188440254	188450253	10000
188450254	188460253	10000
188460254	188470253	10000
188470254	188480253	10000
188480254	188490253	10000
188490254	188500253	10000
188500254	188510253	10000
188510254	188520253	10000
188520254	188530253	10000
188530254	188540253	10000
188540254	188550253	10000
188550254	188560253	10000
188560254	188570253	10000
188570254	188580253	10000
188580254	188590253	10000
188590254	188600253	10000
188600254	188610253	10000
188610254	188620253	10000
188620254	188630253	10000
188630254	188640253	10000
188640254	188650253	10000
188650254	188660253	10000
188660254	188670253	10000
188670254	188680253	10000
188680254	188690253	10000
188690254	188700253	10000
188700254	188710253	10000
188710254	188720253	10000
188720254	188730253	10000
188730254	188740253	10000
188740254	188750253	10000
188750254	188760253	10000
188760254	188770253	10000
188770254	188780253	10000
188780254	188790253	10000
188790254	188800253	10000
188800254	188810253	10000
188810254	188820253	10000
188820254	188830253	10000
188830254	188840253	10000
188840254	188850253	10000
188850254	188860253	10000
188860254	188870253	10000
188870254	188880253	10000
188880254	188890253	10000
188890254	188900253	10000
188900254	188910253	10000
188910254	188920253	10000
188920254	188930253	10000
188930254	188940253	10000
188940254	188950253	10000
188950254	188960253	10000
188960254	188970253	10000
188970254	188980253	10000
188980254	188990253	10000
188990254	189000253	10000
189000254	189010253	10000
189010254	189020253	10000
189020254	189030253	10000
189030254	189040253	10000
189040254	189050253	10000
189050254	189060253	10000
189060254	189070253	10000
189070254	189080253	10000
189080254	189090253	10000
189090254	189100253	10000
189100254	189110253	10000
189110254	189120253	10000
189120254	189130253	10000
189130254	189140253	10000
189140254	189150253	10000
189150254	189160253	10000
189160254	189170253	10000
189170254	189180253	10000
189180254	189190253	10000
189190254	189200253	10000
189200254	189210253	10000
189210254	189220253	10000
189220254	189230253	10000
189230254	189240253	10000
189240254	189250253	10000
189250254	189260253	10000
189260254	189270253	10000
189270254	189280253	10000
189280254	189290253	10000
189290254	189300253	10000
189300254	189310253	10000
189310254	189320253	10000
189320254	189330253	10000
189330254	189340253	10000
189340254	189350253	10000
189350254	189360253	10000
189360254	189370253	10000
189370254	189380253	10000
189380254	189390253	10000
189390254	189400253	10000
189400254	189410253	10000
189410254	189420253	10000
189420254	189430253	10000
189430254	189440253	10000
189440254	189450253	10000
189450254	189460253	10000
189460254	189470253	10000
189470254	189480253	10000
189480254	189490253	10000
189490254	189500253	10000
189500254	189510253	10000
189510254	189520253	10000
189520254	189530253	10000
189530254	189540253	10000
189540254	189550253	10000
189550254	189560253	10000
189560254	189570253	10000
189570254	189580253	10000
189580254	189590253	10000
189590254	189600253	10000
189600254	189610253	10000
189610254	189620253	10000
189620254	189630253	10000
189630254	189640253	10000
189640254	189650253	10000
189650254	189660253	10000
